157.048868263	241.86525282	NaN	NaN
157.246698684	243.285144963	NaN	3965.4
157.308431626	237.312671629	NaN	NaN
157.44501423	245.98203484	NaN	NaN
157.642846306	243.285388542	NaN	NaN
157.840679209	243.285510323	NaN	3932.5
157.878958631	234.512512254	NaN	NaN
158.053226773	243.477673505	NaN	3952.3
158.251061433	243.28576909	NaN	3946.6
158.454105197	240.483044958	NaN	3928.8
158.581252499	244.075638006	NaN	NaN
158.651975237	241.866127795	NaN	3923.1
158.855020711	240.483321202	NaN	3911.9
159.052858886	243.286286549	NaN	3908.1
159.255906071	240.483597419	NaN	3923.1
159.28902619	250.380504291	NaN	NaN
159.359750008	241.866600578	NaN	NaN
159.521979451	254.083507038	NaN	3952.3
159.575165458	257.927560825	NaN	NaN
159.628351465	282.072616363	NaN	NaN
159.669966338	270.000070875	NaN	NaN
159.829524458	257.927745761	NaN	3974.8
160.143990125	253.564160983	NaN	NaN
160.465600822	255.989942861	NaN	4041.4
160.522145177	246.841044398	NaN	NaN
160.737474254	255.032601385	NaN	NaN
160.790661095	257.92775457	NaN	4056.4
161.105131126	253.564397452	NaN	4076.1
161.267364307	254.08388674	NaN	NaN
161.429597883	254.083926704	NaN	4052.6
161.581850292	253.01055391	NaN	NaN
161.744084654	254.084006629	NaN	4022.6
161.850460037	257.928040733	NaN	NaN
162.01269499	254.084066569	NaN	NaN
162.065882865	257.927994774	NaN	4047
162.380358775	253.564716121	NaN	4037.6
162.542595006	254.084196435	NaN	NaN
162.704831631	254.084236391	NaN	3822.8
162.758020073	257.928126481	NaN	NaN
163.016423584	255.03318734	NaN	NaN
163.231760567	255.033168463	NaN	NaN
163.340986496	252.213848261	NaN	4001
163.394175439	257.928242682	NaN	NaN
163.66264866	255.606674943	NaN	4008.5
163.814905907	253.011114912	NaN	NaN
163.977145483	254.084536035	NaN	4033.9
164.301625813	254.08486161	NaN	4076.1
164.510194472	251.341547129	NaN	NaN
164.616574325	257.928559725	NaN	4094.9
164.941057802	254.085021374	NaN	4128.6
165.040426019	250.382240021	NaN	NaN
165.25576959	255.033640877	NaN	4145.5
165.580256214	254.085181123	NaN	4167.1
165.838670632	255.033839233	NaN	NaN
165.863155726	334.939340499	NaN	4195.3
165.936610976	334.939434033	NaN	NaN
166.010066178	334.939521218	NaN	NaN
166.152866077	338.711227371	NaN	4265.6
166.295665843	338.711381121	NaN	4260
166.320150835	334.939892684	NaN	NaN
166.393605778	334.939986234	NaN	NaN
166.442575713	334.940041192	NaN	4256.3
166.501765168	339.490954549	NaN	NaN
166.547298656	346.841176226	NaN	NaN
166.596268521	334.940230128	NaN	4256.3
166.743177987	334.940417252	NaN	NaN
166.812851152	342.686950755	NaN	NaN
166.906842721	340.675370444	NaN	4252.5
166.96603201	339.491439353	NaN	NaN
167.044302116	352.390881406	NaN	NaN
167.368424145	16.7293466494	NaN	4241.3
168.003087803	16.1206112578	NaN	NaN
168.268165069	23.026973961	NaN	NaN
168.752065403	20.0467320868	NaN	NaN
169.330636419	16.6573633783	NaN	NaN
169.909206136	16.6568425482	NaN	3952.3
170.278779632	16.2870511235	NaN	NaN
170.463566191	16.2868946612	NaN	3932.5
170.721186041	18.7768570548	NaN	NaN
170.930201961	17.3092296822	NaN	NaN
171.048577566	20.5041890281	NaN	3819
